Ambulance_ID,Algorithm,Travel_Time,Computation_Time,ACO_Time_Overhead
a1,Dijkstra,81.0,0.0007781982421875,0
a2,Dijkstra,87.0,0.0006630420684814453,0
a3,Dijkstra,95.0,0.0007607936859130859,0
a4,Dijkstra,85.0,0.0006039142608642578,0
a5,Dijkstra,185.0,0.0017781257629394531,0
a1,A*,81.0,0.08260202407836914,0
a2,A*,78.0,0.2514486312866211,0
a3,A*,114.0,0.08352112770080566,0
a4,A*,83.0,0.07271695137023926,0
a5,A*,183.0,0.20396709442138672,0
a1,A* Euclidean,116.0,0.0005099773406982422,0
a2,A* Euclidean,107.0,0.0002810955047607422,0
a3,A* Euclidean,396.0,0.00034999847412109375,0
a4,A* Euclidean,120.0,0.00031304359436035156,0
a5,A* Euclidean,151.0,0.00034809112548828125,0
a1,A* ACO,78.0,0.08584117889404297,165.53977751731873
a2,A* ACO,99.0,0.2368619441986084,133.33200597763062
a3,A* ACO,102.0,0.08779597282409668,175.95283126831055
a4,A* ACO,88.0,0.07087278366088867,161.26662516593933
a5,A* ACO,173.0,0.22145581245422363,178.2288076877594
